순위,노래제목,가수
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2,보고싶었어,WSG워너비 (4FIRE)
3,POP!,나연 (TWICE)
4,LOVE DIVE,IVE (아이브)
5,Clink Clink (클링 클링),WSG워너비 (오아시소)
6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
7,TOMBOY,(여자)아이들
8,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
9,사랑인가 봐,멜로망스
10,나의 X에게,경서
11,사랑은 늘 도망가,임영웅
12,우리들의 블루스,임영웅
13,Girls,aespa
14,그라데이션,10CM
15,다시 만날 수 있을까,임영웅
16,LOVE me,BE'O (비오)
17,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
18,FEARLESS,LE SSERAFIM (르세라핌)
19,Yet To Come,방탄소년단
20,취중고백,김민석 (멜로망스)
21,무지개,임영웅
22,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단"
23,내가 아니라도,주호
24,이제 나만 믿어요,임영웅
25,Feel My Rhythm,Red Velvet (레드벨벳)
26,아버지,임영웅
27,Love story,볼빨간사춘기
28,아무래도 난,주시크 (Joosiq)
29,I LOVE U,WINNER
30,손이 참 곱던 그대,임영웅
31,신호등,이무진
32,A bientot,임영웅
33,사랑해 진짜,임영웅
34,ELEVEN,IVE (아이브)
35,인생찬가,임영웅
36,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
37,연애편지,임영웅
38,다정히 내 이름을 부르면,"경서예지, 전건호"
39,사랑역,임영웅
40,Dynamite,방탄소년단
41,보금자리,임영웅
42,사랑해요 그대를,임영웅
43,MY BAG,(여자)아이들
44,GANADARA (Feat. 아이유),박재범
45,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
46,열이올라요 (Heart Burn),선미
47,STAY,"The Kid LAROI, Justin Bieber"
48,That's Hilarious,Charlie Puth
49,INVU,태연 (TAEYEON)
50,Butter,방탄소년단
51,듣고 싶을까,MSG워너비(M.O.M)
52,팡파레,다비치
53,고백하는 취한밤에 (Prod. 2soo),임재현
54,Next Level,aespa
55,도깨비불 (Illusion),aespa
56,Permission to Dance,방탄소년단
57,너의 모든 순간,성시경
58,없었던 일로,헤이즈 (Heize)
59,Weekend,태연 (TAEYEON)
60,해요 (2022),#안녕
61,너를 생각해,주시크 (Joosiq)
62,SMILEY (Feat. BIBI),YENA (최예나)
63,HOT,세븐틴
64,Sparkling,청하
65,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현)
66,드라마,아이유
67,ZOOM,제시 (Jessi)
68,봄날,방탄소년단
69,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
70,Life′s Too Short (English Ver.),aespa
71,언제나 사랑해,케이시 (Kassy)
72,내 손을 잡아,아이유
73,바라만 본다,MSG워너비(M.O.M)
74,With you,"지민, 하성운"
75,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
76,My Universe,"Coldplay, 방탄소년단"
77,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
78,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
79,strawberry moon,아이유
80,그 하루(feat.반하나),주호
81,Off My Face,Justin Bieber
82,밤하늘의 별을(2020),경서
83,"스물다섯, 스물하나",자우림
84,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
85,Savage,aespa
86,미친 것처럼,V.O.S
87,문득,BE'O (비오)
88,롤린 (Rollin'),브레이브걸스
89,라일락,아이유
90,Celebrity,아이유
91,눈이 오잖아(Feat.헤이즈),이무진
92,Blueming,아이유
93,호랑수월가,탑현
94,헤픈 우연,헤이즈 (Heize)
95,Bad Habits,Ed Sheeran
96,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
97,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
98,Born Singer,방탄소년단
99,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
100,고백,멜로망스
