,이름,가격
0,나시고랭 콤보,"6,800"
1,나시고랭,"6,000"
2,스리라차 알새우칩,"1,200"
3,한입 족발 도시락,"8,500"
4,한입 불족발 도시락,"8,500"
5,토네이도 소세지 파스타,"5,500"
6,트리플 치즈 파스타,"5,500"
7,토마토 미트 파스타,"4,500"
8,"매화(치킨, 연어구이)","10,000"
9,매화(순살 고등어 간장구이),"10,000"
10,진달래,"7,000"
11,개나리(순살 고등어 간장구이),"8,000"
12,돈까스도련님고기고기,"5,800"
13,탕수육도련님고기고기,"5,800"
14,새치 고기고기,"6,200"
15,돈치 고기고기,"5,400"
16,숯불직화구이,"6,500"
17,소불고기,"5,000"
18,메가치킨제육,"7,000"
19,칠리 찹쌀탕수육도련님,"4,200"
20,동백,"5,500"
21,치킨제육,"4,500"
22,돈까스도련님,"4,200"
23,제육볶음,"4,100"
24,돈치스팸 도시락,"4,700"
25,제육 김치찌개 정식,"8,200"
26,제육 김치 부대찌개 정식,"8,500"
27,돈치스팸 김치 부대찌개 정식,"8,500"
28,빅치킨마요 김치 부대찌개 정식,"7,400"
29,치킨마요 김치 부대찌개 정식,"6,800"
30,돈치스팸 김치찌개 정식,"8,200"
31,빅치킨마요 김치찌개 정식,"7,000"
32,치킨마요 김치찌개 정식,"6,400"
33,메가스팸마요,"5,600"
34,스팸마요,"3,600"
35,메가치킨마요,"5,500"
36,왕치킨마요,"4,500"
37,빅치킨마요,"3,800"
38,치킨마요,"3,200"
39,참치마요,"3,000"
40,돈치마요,"3,600"
41,치즈 카레도시락,"4,100"
42,돈까스 카레,"4,200"
43,3종치즈 김치볶음밥,"4,800"
44,스팸 김치볶음밥,"4,700"
45,김치볶음밥,"3,900"
46,스팸철판볶음밥,"4,500"
47,소불고기 철판볶음밥,"4,500"
48,묵은지 김치찌개,"4,500"
49,김치 부대찌개,"5,800"
50,숯불직화구이 덮밥,"5,900"
51,마파두부 덮밥,"5,000"
52,왕카레돈까스덮밥,"5,700"
53,새우돈까스 덮밥,"3,900"
54,돈까스 덮밥,"3,800"
55,소불고기 감초고추장 비빔밥,"5,000"
56,시골제육 두부강된장 비빔밥,"5,000"
57,참치야채 감초고추장,"3,200"
58,튼튼도시락,"5,000"
59,반찬 계란말이,"2,500"
60,반찬 치즈계란말이,"3,000"
61,반찬 묵은지김치찌개,"4,000"
62,반찬 카레,"2,600"
63,반찬 소불고기,"3,900"
64,반찬 순살 고등어데리야끼,"3,600"
65,반찬 김치 부대찌개,"4,500"
66,반찬 치킨,"3,300"
67,반찬 고기고기,"3,200"
68,반찬 돈까스 도련님,"3,500"
69,반찬 제육볶음,"3,100"
70,반찬 토네이도 소세지,"2,600"
71,반찬 반달돈까스,"2,600"
72,뉴 감자고로케,"2,700"
73,미니 찹쌀핫도그,"2,500"
74,미니 찹쌀탕수육,"2,200"
75,케이준후라이,"1,500"
76,고메이 크림 고로케,"3,500"
77,후라이드 순살(중),"7,000"
78,후라이드 순살(소)_양념치킨소스,"3,500"
79,후라이드 순살(소)_케이준소스,"3,500"
80,오리지널 닭강정(중),"7,500"
81,오리지널 닭강정(소),"2,900"
82,오징어젓갈,400
83,오이지무침,700
84,한솥 두부강된장소스,"1,800"
85,한솥 감초볶음고추장소스,500
86,볶음김치,400
87,김치,300
88,무말랭이 무침,300
89,한솥밥,"1,000"
90,현미밥,"1,700"
91,리얼 티라미수 찰떡,"1,500"
92,리얼꿀 미니호떡,"2,200"
